DistrictID,ProvinceID,DistrictName
1001,1,เขตพระนคร
1002,1,เขตดุสิต
1003,1,เขตหนองจอก
1004,1,เขตบางรัก
1005,1,เขตบางเขน
1006,1,เขตบางกะปิ
1007,1,เขตปทุมวัน
1008,1,เขตป้อมปราบศัตรูพ่าย
1009,1,เขตพระโขนง
1010,1,เขตมีนบุรี
1011,1,เขตลาดกระบัง
1012,1,เขตยานนาวา
1013,1,เขตสัมพันธวงศ์
1014,1,เขตพญาไท
1015,1,เขตธนบุรี
1016,1,เขตบางกอกใหญ่
1017,1,เขตห้วยขวาง
1018,1,เขตคลองสาน
1019,1,เขตตลิ่งชัน
1020,1,เขตบางกอกน้อย
1021,1,เขตบางขุนเทียน
1022,1,เขตภาษีเจริญ
1023,1,เขตหนองแขม
1024,1,เขตราษฎร์บูรณะ
1025,1,เขตบางพลัด
1026,1,เขตดินแดง
1027,1,เขตบึงกุ่ม
1028,1,เขตสาทร
1029,1,เขตบางซื่อ
1030,1,เขตจตุจักร
1031,1,เขตบางคอแหลม
1032,1,เขตประเวศ
1033,1,เขตคลองเตย
1034,1,เขตสวนหลวง
1035,1,เขตจอมทอง
1036,1,เขตดอนเมือง
1037,1,เขตราชเทวี
1038,1,เขตลาดพร้าว
1039,1,เขตวัฒนา
1040,1,เขตบางแค
1041,1,เขตหลักสี่
1042,1,เขตสายไหม
1043,1,เขตคันนายาว
1044,1,เขตสะพานสูง
1045,1,เขตวังทองหลาง
1046,1,เขตคลองสามวา
1047,1,เขตบางนา
1048,1,เขตทวีวัฒนา
1049,1,เขตทุ่งครุ
1050,1,เขตบางบอน
1101,2,เมืองสมุทรปราการ
1102,2,บางบ่อ
1103,2,บางพลี
1104,2,พระประแดง
1105,2,พระสมุทรเจดีย์
1106,2,บางเสาธง
1201,3,เมืองนนทบุรี
1202,3,บางกรวย
1203,3,บางใหญ่
1204,3,บางบัวทอง
1205,3,ไทรน้อย
1206,3,ปากเกร็ด
1301,4,เมืองปทุมธานี
1302,4,คลองหลวง
1303,4,ธัญบุรี
1304,4,หนองเสือ
1305,4,ลาดหลุมแก้ว
1306,4,ลำลูกกา
1307,4,สามโคก
1401,5,พระนครศรีอยุธยา
1402,5,ท่าเรือ
1403,5,นครหลวง
1404,5,บางไทร
1405,5,บางบาล
1406,5,บางปะอิน
1407,5,บางปะหัน
1408,5,ผักไห่
1409,5,ภาชี
1410,5,ลาดบัวหลวง
1411,5,วังน้อย
1412,5,เสนา
1413,5,บางซ้าย
1414,5,อุทัย
1415,5,มหาราช
1416,5,บ้านแพรก
1501,6,เมืองอ่างทอง
1502,6,ไชโย
1503,6,ป่าโมก
1504,6,โพธิ์ทอง
1505,6,แสวงหา
1506,6,วิเศษชัยชาญ
1507,6,สามโก้
1601,7,เมืองลพบุรี
1602,7,พัฒนานิคม
1603,7,โคกสำโรง
1604,7,ชัยบาดาล
1605,7,ท่าวุ้ง
1606,7,บ้านหมี่
1607,7,ท่าหลวง
1608,7,สระโบสถ์
1609,7,โคกเจริญ
1610,7,ลำสนธิ
1611,7,หนองม่วง
1701,8,เมืองสิงห์บุรี
1702,8,บางระจัน
1703,8,ค่ายบางระจัน
1704,8,พรหมบุรี
1705,8,ท่าช้าง
1706,8,อินทร์บุรี
1801,9,เมืองชัยนาท
1802,9,มโนรมย์
1803,9,วัดสิงห์
1804,9,สรรพยา
1805,9,สรรคบุรี
1806,9,หันคา
1807,9,หนองมะโมง
1808,9,เนินขาม
1901,10,เมืองสระบุรี
1902,10,แก่งคอย
1903,10,หนองแค
1904,10,วิหารแดง
1905,10,หนองแซง
1906,10,บ้านหมอ
1907,10,ดอนพุด
1908,10,หนองโดน
1909,10,พระพุทธบาท
1910,10,เสาไห้
1911,10,มวกเหล็ก
1912,10,วังม่วง
1913,10,เฉลิมพระเกียรติ
2001,11,เมืองชลบุรี
2002,11,บ้านบึง
2003,11,หนองใหญ่
2004,11,บางละมุง
2005,11,พานทอง
2006,11,พนัสนิคม
2007,11,ศรีราชา
2008,11,เกาะสีชัง
2009,11,สัตหีบ
2010,11,บ่อทอง
2011,11,เกาะจันทร์
2101,12,เมืองระยอง
2102,12,บ้านฉาง
2103,12,แกลง
2104,12,วังจันทร์
2105,12,บ้านค่าย
2106,12,ปลวกแดง
2107,12,เขาชะเมา
2108,12,นิคมพัฒนา
2201,13,เมืองจันทบุรี
2202,13,ขลุง
2203,13,ท่าใหม่
2204,13,โป่งน้ำร้อน
2205,13,มะขาม
2206,13,แหลมสิงห์
2207,13,สอยดาว
2208,13,แก่งหางแมว
2209,13,นายายอาม
2210,13,เขาคิชฌกูฏ
2301,14,เมืองตราด
2302,14,คลองใหญ่
2303,14,เขาสมิง
2304,14,บ่อไร่
2305,14,แหลมงอบ
2306,14,เกาะกูด
2307,14,เกาะช้าง
2401,15,เมืองฉะเชิงเทรา
2402,15,บางคล้า
2403,15,บางน้ำเปรี้ยว
2404,15,บางปะกง
2405,15,บ้านโพธิ์
2406,15,พนมสารคาม
2407,15,ราชสาส์น
2408,15,สนามชัยเขต
2409,15,แปลงยาว
2410,15,ท่าตะเกียบ
2411,15,คลองเขื่อน
2501,16,เมืองปราจีนบุรี
2502,16,กบินทร์บุรี
2503,16,นาดี
2506,16,บ้านสร้าง
2507,16,ประจันตคาม
2508,16,ศรีมหาโพธิ
2509,16,ศรีมโหสถ
2601,17,เมืองนครนายก
2602,17,ปากพลี
2603,17,บ้านนา
2604,17,องครักษ์
2701,18,เมืองสระแก้ว
2702,18,คลองหาด
2703,18,ตาพระยา
2704,18,วังน้ำเย็น
2705,18,วัฒนานคร
2706,18,อรัญประเทศ
2707,18,เขาฉกรรจ์
2708,18,โคกสูง
2709,18,วังสมบูรณ์
3001,19,เมืองนครราชสีมา
3002,19,ครบุรี
3003,19,เสิงสาง
3004,19,คง
3005,19,บ้านเหลื่อม
3006,19,จักราช
3007,19,โชคชัย
3008,19,ด่านขุนทด
3009,19,โนนไทย
3010,19,โนนสูง
3011,19,ขามสะแกแสง
3012,19,บัวใหญ่
3013,19,ประทาย
3014,19,ปักธงชัย
3015,19,พิมาย
3016,19,ห้วยแถลง
3017,19,ชุมพวง
3018,19,สูงเนิน
3019,19,ขามทะเลสอ
3020,19,สีคิ้ว
3021,19,ปากช่อง
3022,19,หนองบุญมาก
3023,19,แก้งสนามนาง
3024,19,โนนแดง
3025,19,วังน้ำเขียว
3026,19,เทพารักษ์
3027,19,เมืองยาง
3028,19,พระทองคำ
3029,19,ลำทะเมนชัย
3030,19,บัวลาย
3031,19,สีดา
3032,19,เฉลิมพระเกียรติ
3101,20,เมืองบุรีรัมย์
3102,20,คูเมือง
3103,20,กระสัง
3104,20,นางรอง
3105,20,หนองกี่
3106,20,ละหานทราย
3107,20,ประโคนชัย
3108,20,บ้านกรวด
3109,20,พุทไธสง
3110,20,ลำปลายมาศ
3111,20,สตึก
3112,20,ปะคำ
3113,20,นาโพธิ์
3114,20,หนองหงส์
3115,20,พลับพลาชัย
3116,20,ห้วยราช
3117,20,โนนสุวรรณ
3118,20,ชำนิ
3119,20,บ้านใหม่ไชยพจน์
3120,20,โนนดินแดง
3121,20,บ้านด่าน
3122,20,แคนดง
3123,20,เฉลิมพระเกียรติ
3201,21,เมืองสุรินทร์
3202,21,ชุมพลบุรี
3203,21,ท่าตูม
3204,21,จอมพระ
3205,21,ปราสาท
3206,21,กาบเชิง
3207,21,รัตนบุรี
3208,21,สนม
3209,21,ศีขรภูมิ
3210,21,สังขะ
3211,21,ลำดวน
3212,21,สำโรงทาบ
3213,21,บัวเชด
3214,21,พนมดงรัก
3215,21,ศรีณรงค์
3216,21,เขวาสินรินทร์
3217,21,โนนนารายณ์
3301,22,เมืองศรีสะเกษ
3302,22,ยางชุมน้อย
3303,22,กันทรารมย์
3304,22,กันทรลักษ์
3305,22,ขุขันธ์
3306,22,ไพรบึง
3307,22,ปรางค์กู่
3308,22,ขุนหาญ
3309,22,ราษีไศล
3310,22,อุทุมพรพิสัย
3311,22,บึงบูรพ์
3312,22,ห้วยทับทัน
3313,22,โนนคูณ
3314,22,ศรีรัตนะ
3315,22,น้ำเกลี้ยง
3316,22,วังหิน
3317,22,ภูสิงห์
3318,22,เมืองจันทร์
3319,22,เบญจลักษ์
3320,22,พยุห์
3321,22,โพธิ์ศรีสุวรรณ
3322,22,ศิลาลาด
3401,23,เมืองอุบลราชธานี
3402,23,ศรีเมืองใหม่
3403,23,โขงเจียม
3404,23,เขื่องใน
3405,23,เขมราฐ
3407,23,เดชอุดม
3408,23,นาจะหลวย
3409,23,น้ำยืน
3410,23,บุณฑริก
3411,23,ตระการพืชผล
3412,23,กุดข้าวปุ้น
3414,23,ม่วงสามสิบ
3415,23,วารินชำราบ
3419,23,พิบูลมังสาหาร
3420,23,ตาลสุม
3421,23,โพธิ์ไทร
3422,23,สำโรง
3424,23,ดอนมดแดง
3425,23,สิรินธร
3426,23,ทุ่งศรีอุดม
3429,23,นาเยีย
3430,23,นาตาล
3431,23,เหล่าเสือโก้ก
3432,23,สว่างวีระวงศ์
3433,23,น้ำขุ่น
3501,24,เมืองยโสธร
3502,24,ทรายมูล
3503,24,กุดชุม
3504,24,คำเขื่อนแก้ว
3505,24,ป่าติ้ว
3506,24,มหาชนะชัย
3507,24,ค้อวัง
3508,24,เลิงนกทา
3509,24,ไทยเจริญ
3601,25,เมืองชัยภูมิ
3602,25,บ้านเขว้า
3603,25,คอนสวรรค์
3604,25,เกษตรสมบูรณ์
3605,25,หนองบัวแดง
3606,25,จัตุรัส
3607,25,บำเหน็จณรงค์
3608,25,หนองบัวระเหว
3609,25,เทพสถิต
3610,25,ภูเขียว
3611,25,บ้านแท่น
3612,25,แก้งคร้อ
3613,25,คอนสาร
3614,25,ภักดีชุมพล
3615,25,เนินสง่า
3616,25,ซับใหญ่
3701,26,เมืองอำนาจเจริญ
3702,26,ชานุมาน
3703,26,ปทุมราชวงศา
3704,26,พนา
3705,26,เสนางคนิคม
3706,26,หัวตะพาน
3707,26,ลืออำนาจ
3801,77,เมืองบึงกาฬ
3802,77,เซกา
3803,77,โซ่พิสัย
3804,77,พรเจริญ
3805,77,ศรีวิไล
3806,77,บึงโขงหลง
3807,77,ปากคาด
3808,77,บุ่งคล้า
3901,27,เมืองหนองบัวลำภู
3902,27,นากลาง
3903,27,โนนสัง
3904,27,ศรีบุญเรือง
3905,27,สุวรรณคูหา
3906,27,นาวัง
4001,28,เมืองขอนแก่น
4002,28,บ้านฝาง
4003,28,พระยืน
4004,28,หนองเรือ
4005,28,ชุมแพ
4006,28,สีชมพู
4007,28,น้ำพอง
4008,28,อุบลรัตน์
4009,28,กระนวน
4010,28,บ้านไผ่
4011,28,เปือยน้อย
4012,28,พล
4013,28,แวงใหญ่
4014,28,แวงน้อย
4015,28,หนองสองห้อง
4016,28,ภูเวียง
4017,28,มัญจาคีรี
4018,28,ชนบท
4019,28,เขาสวนกวาง
4020,28,ภูผาม่าน
4021,28,ซำสูง
4022,28,โคกโพธิ์ไชย
4023,28,หนองนาคำ
4024,28,บ้านแฮด
4025,28,โนนศิลา
4029,28,เวียงเก่า
4101,29,เมืองอุดรธานี
4102,29,กุดจับ
4103,29,หนองวัวซอ
4104,29,กุมภวาปี
4105,29,โนนสะอาด
4106,29,หนองหาน
4107,29,ทุ่งฝน
4108,29,ไชยวาน
4109,29,ศรีธาตุ
4110,29,วังสามหมอ
4111,29,บ้านดุง
4117,29,บ้านผือ
4118,29,น้ำโสม
4119,29,เพ็ญ
4120,29,สร้างคอม
4121,29,หนองแสง
4122,29,นายูง
4123,29,พิบูลย์รักษ์
4124,29,กู่แก้ว
4125,29,ประจักษ์ศิลปาคม
4201,30,เมืองเลย
4202,30,นาด้วง
4203,30,เชียงคาน
4204,30,ปากชม
4205,30,ด่านซ้าย
4206,30,นาแห้ว
4207,30,ภูเรือ
4208,30,ท่าลี่
4209,30,วังสะพุง
4210,30,ภูกระดึง
4211,30,ภูหลวง
4212,30,ผาขาว
4213,30,เอราวัณ
4214,30,หนองหิน
4301,31,เมืองหนองคาย
4302,31,ท่าบ่อ
4305,31,โพนพิสัย
4307,31,ศรีเชียงใหม่
4308,31,สังคม
4314,31,สระใคร
4315,31,เฝ้าไร่
4316,31,รัตนวาปี
4317,31,โพธิ์ตาก
4401,32,เมืองมหาสารคาม
4402,32,แกดำ
4403,32,โกสุมพิสัย
4404,32,กันทรวิชัย
4405,32,เชียงยืน
4406,32,บรบือ
4407,32,นาเชือก
4408,32,พยัคฆภูมิพิสัย
4409,32,วาปีปทุม
4410,32,นาดูน
4411,32,ยางสีสุราช
4412,32,กุดรัง
4413,32,ชื่นชม
4501,33,เมืองร้อยเอ็ด
4502,33,เกษตรวิสัย
4503,33,ปทุมรัตต์
4504,33,จตุรพักตรพิมาน
4505,33,ธวัชบุรี
4506,33,พนมไพร
4507,33,โพนทอง
4508,33,โพธิ์ชัย
4509,33,หนองพอก
4510,33,เสลภูมิ
4511,33,สุวรรณภูมิ
4512,33,เมืองสรวง
4513,33,โพนทราย
4514,33,อาจสามารถ
4515,33,เมยวดี
4516,33,ศรีสมเด็จ
4517,33,จังหาร
4518,33,เชียงขวัญ
4519,33,หนองฮี
4520,33,ทุ่งเขาหลวง
4601,34,เมืองกาฬสินธุ์
4602,34,นามน
4603,34,กมลาไสย
4604,34,ร่องคำ
4605,34,กุฉินารายณ์
4606,34,เขาวง
4607,34,ยางตลาด
4608,34,ห้วยเม็ก
4609,34,สหัสขันธ์
4610,34,คำม่วง
4611,34,ท่าคันโท
4612,34,หนองกุงศรี
4613,34,สมเด็จ
4614,34,ห้วยผึ้ง
4615,34,สามชัย
4616,34,นาคู
4617,34,ดอนจาน
4618,34,ฆ้องชัย
4701,35,เมืองสกลนคร
4702,35,กุสุมาลย์
4703,35,กุดบาก
4704,35,พรรณานิคม
4705,35,พังโคน
4706,35,วาริชภูมิ
4707,35,นิคมน้ำอูน
4708,35,วานรนิวาส
4709,35,คำตากล้า
4710,35,บ้านม่วง
4711,35,อากาศอำนวย
4712,35,สว่างแดนดิน
4713,35,ส่องดาว
4714,35,เต่างอย
4715,35,โคกศรีสุพรรณ
4716,35,เจริญศิลป์
4717,35,โพนนาแก้ว
4718,35,ภูพาน
4801,36,เมืองนครพนม
4802,36,ปลาปาก
4803,36,ท่าอุเทน
4804,36,บ้านแพง
4805,36,ธาตุพนม
4806,36,เรณูนคร
4807,36,นาแก
4808,36,ศรีสงคราม
4809,36,นาหว้า
4810,36,โพนสวรรค์
4811,36,นาทม
4812,36,วังยาง
4901,37,เมืองมุกดาหาร
4902,37,นิคมคำสร้อย
4903,37,ดอนตาล
4904,37,ดงหลวง
4905,37,คำชะอี
4906,37,หว้านใหญ่
4907,37,หนองสูง
5001,38,เมืองเชียงใหม่
5002,38,จอมทอง
5003,38,แม่แจ่ม
5004,38,เชียงดาว
5005,38,ดอยสะเก็ด
5006,38,แม่แตง
5007,38,แม่ริม
5008,38,สะเมิง
5009,38,ฝาง
5010,38,แม่อาย
5011,38,พร้าว
5012,38,สันป่าตอง
5013,38,สันกำแพง
5014,38,สันทราย
5015,38,หางดง
5016,38,ฮอด
5017,38,ดอยเต่า
5018,38,อมก๋อย
5019,38,สารภี
5020,38,เวียงแหง
5021,38,ไชยปราการ
5022,38,แม่วาง
5023,38,แม่ออน
5024,38,ดอยหล่อ
5025,38,กัลยาณิวัฒนา
5101,39,เมืองลำพูน
5102,39,แม่ทา
5103,39,บ้านโฮ่ง
5104,39,ลี้
5105,39,ทุ่งหัวช้าง
5106,39,ป่าซาง
5107,39,บ้านธิ
5108,39,เวียงหนองล่อง
5201,40,เมืองลำปาง
5202,40,แม่เมาะ
5203,40,เกาะคา
5204,40,เสริมงาม
5205,40,งาว
5206,40,แจ้ห่ม
5207,40,วังเหนือ
5208,40,เถิน
5209,40,แม่พริก
5210,40,แม่ทะ
5211,40,สบปราบ
5212,40,ห้างฉัตร
5213,40,เมืองปาน
5301,41,เมืองอุตรดิตถ์
5302,41,ตรอน
5303,41,ท่าปลา
5304,41,น้ำปาด
5305,41,ฟากท่า
5306,41,บ้านโคก
5307,41,พิชัย
5308,41,ลับแล
5309,41,ทองแสนขัน
5401,42,เมืองแพร่
5402,42,ร้องกวาง
5403,42,ลอง
5404,42,สูงเม่น
5405,42,เด่นชัย
5406,42,สอง
5407,42,วังชิ้น
5408,42,หนองม่วงไข่
5501,43,เมืองน่าน
5502,43,แม่จริม
5503,43,บ้านหลวง
5504,43,นาน้อย
5505,43,ปัว
5506,43,ท่าวังผา
5507,43,เวียงสา
5508,43,ทุ่งช้าง
5509,43,เชียงกลาง
5510,43,นาหมื่น
5511,43,สันติสุข
5512,43,บ่อเกลือ
5513,43,สองแคว
5514,43,ภูเพียง
5515,43,เฉลิมพระเกียรติ
5601,44,เมืองพะเยา
5602,44,จุน
5603,44,เชียงคำ
5604,44,เชียงม่วน
5605,44,ดอกคำใต้
5606,44,ปง
5607,44,แม่ใจ
5608,44,ภูซาง
5609,44,ภูกามยาว
5701,45,เมืองเชียงราย
5702,45,เวียงชัย
5703,45,เชียงของ
